№ предложения,№ слова,Слово,Часть речи,Морфосинтаксис (tag_),Лемма,Морфологические атрибуты
1,1,Здесь,ADV,ADV,здесь,Degree=Pos
1,2,твои,DET,DET,твой,Case=Nom|Number=Plur
1,3,примеры,NOUN,NOUN,пример,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
1,4,предложений,NOUN,NOUN,предложение,Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
1,5,.,PUNCT,PUNCT,.,
2,1,Можешь,VERB,VERB,мочь,Aspect=Imp|Mood=Ind|Number=Sing|Person=Second|Tense=Pres|VerbForm=Fin|Voice=Act
2,2,взять,VERB,VERB,взять,Aspect=Perf|VerbForm=Inf|Voice=Act
2,3,текст,NOUN,NOUN,текст,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
2,4,из,ADP,ADP,из,
2,5,методички,NOUN,NOUN,методичка,Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
2,6,или,CCONJ,CCONJ,или,
2,7,создать,VERB,VERB,создать,Aspect=Perf|VerbForm=Inf|Voice=Act
2,8,свой,DET,DET,свой,Case=Acc|Gender=Masc|Number=Sing
2,9,.,PUNCT,PUNCT,.,
